id,titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url,features
1,volkswagenvoyage1.0flex12v4p2023-1344794573|olx,63390.0,volkswagen,volkswagenvoyage1.0flex12v4p,49798,2023,sedã,1.0,0,branco,flex,4.0,manual,hidráulica,sãobernardodocampo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2023-1-0-12v-mpi-totalflex-4p-manual-1344794573,volkswagenvoyage1.0flex12v4p 63390.0 volkswagen 49798 2023 sedã 1.0 0 branco flex 4.0 manual hidráulica sãobernardodocampo
2,fiatargodrive1.0firefly2024-1347684544|olx,73990.0,fiat,fiatargodrive1.0firefly,47248,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,contagem,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2024-1-0-firefly-flex-drive-manual-1347684544,fiatargodrive1.0firefly 73990.0 fiat 47248 2024 hatch 1.0 0 branco flex 4.0 manual elétrica contagem
3,volkswagenvoyage1.0flex12v4p2023-1352204715|olx,59590.0,volkswagen,volkswagenvoyage1.0flex12v4p,44762,2023,sedã,1.0,0,branco,flex,4.0,manual,hidráulica,sãobernardodocampo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2023-1-0-12v-mpi-totalflex-4p-manual-1352204715,volkswagenvoyage1.0flex12v4p 59590.0 volkswagen 44762 2023 sedã 1.0 0 branco flex 4.0 manual hidráulica sãobernardodocampo
4,hyundaihb20xstyle1.6flex16vmec.2014-1352254894|olx,52900.0,hyundai,hyundaihb20xstyle1.6flex16vmec.,116000,2014,hatch,1.6,0,branco,flex,4.0,manual,hidráulica,sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-style-2014-1352254894,hyundaihb20xstyle1.6flex16vmec. 52900.0 hyundai 116000 2014 hatch 1.6 0 branco flex 4.0 manual hidráulica sorocaba
27,volkswagenpolo1.0mpiflex12v5p2023-1344863692|olx,76190.0,volkswagen,volkswagenpolo1.0mpiflex12v5p,54463,2023,hatch,1.0,0,cinza,flex,4.0,manual,mecânica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2023-1-0-mpi-track-manual-1344863692,volkswagenpolo1.0mpiflex12v5p 76190.0 volkswagen 54463 2023 hatch 1.0 0 cinza flex 4.0 manual mecânica ribeirãopreto
28,chevroletpluspremier1.012vtbflexaut.4p2024-1350997348|olx,112290.0,chevrolet,chevroletpluspremier1.012vtbflexaut.4p,11775,2024,hatch,1.0,0,cinza,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-turbo-flex-plus-premier-automatico-1350997348,chevroletpluspremier1.012vtbflexaut.4p 112290.0 chevrolet 11775 2024 hatch 1.0 0 cinza flex 4.0 automático elétrica ribeirãopreto
29,chevrolethatchltz1.012vtbflexaut.4p2023-1352651813|olx,86690.0,chevrolet,chevrolethatchltz1.012vtbflexaut.4p,32975,2023,hatch,1.0,0,cinza,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1352651813,chevrolethatchltz1.012vtbflexaut.4p 86690.0 chevrolet 32975 2023 hatch 1.0 0 cinza flex 4.0 automático elétrica itaguaí
30,fiatstradaendurance1.4flex8vc2023-1352679061|olx,82790.0,fiat,fiatstradaendurance1.4flex8vc,60225,2023,pick-up,1.4,0,prata,flex,4.0,manual,hidráulica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2023-1-4-fire-flex-endurance-cs-manual-1352679061,fiatstradaendurance1.4flex8vc 82790.0 fiat 60225 2023 pick-up 1.4 0 prata flex 4.0 manual hidráulica ribeirãopreto
31,hyundaihb20scomfortstyle1.0tbflex12vmec.2024-1356546148|olx,85290.0,hyundai,hyundaihb20scomfortstyle1.0tbflex12vmec.,13000,2024,sedã,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-12v-flex-comfort-manual-1356546148,hyundaihb20scomfortstyle1.0tbflex12vmec. 85290.0 hyundai 13000 2024 sedã 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
32,hyundaicomfort1.0flex12vmec.2024-1358975679|olx,91690.0,hyundai,hyundaicomfort1.0flex12vmec.,39976,2024,sedã,1.0,0,branco,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-tgdi-flex-comfort-automatico-1358975679,hyundaicomfort1.0flex12vmec. 91690.0 hyundai 39976 2024 sedã 1.0 0 branco flex 4.0 automático elétrica itaguaí
33,chevrolettrackerpremier1.2turbo12vflexaut2024-1360633757|olx,130590.0,chevrolet,chevrolettrackerpremier1.2turbo12vflexaut,47653,2024,suv,1.2,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1360633757,chevrolettrackerpremier1.2turbo12vflexaut 130590.0 chevrolet 47653 2024 suv 1.2 0 prata flex 4.0 automático elétrica itaguaí
34,chevroletspinpremier1.88vecono.flex5paut.2023-1320240198|olx,98090.0,chevrolet,chevroletspinpremier1.88vecono.flex5paut.,51217,2023,van/utilitário,1.8,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-2023-1-8-premier-8v-flex-4p-automatico-1320240198,chevroletspinpremier1.88vecono.flex5paut. 98090.0 chevrolet 51217 2023 van/utilitário 1.8 0 prata flex 4.0 automático elétrica ribeirãopreto
35,porsche718boxster2.0300cv2024-1325716789|olx,699000.0,porsche,porsche718boxster2.0300cv,1850,2024,hidráulica,2.0-2.9,0,cinza,gasolina,2.0,automático,hidráulica,florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/718-boxster-2-0-1325716789,porsche718boxster2.0300cv 699000.0 porsche 1850 2024 hidráulica 2.0-2.9 0 cinza gasolina 2.0 automático hidráulica florianópolis
36,renaultdusterintense1.616vflexaut2024-1338113558|olx,102290.0,renault,renaultdusterintense1.616vflexaut,41885,2024,suv,1.6,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2024-1-6-16v-sce-flex-intense-x-tronic-1338113558,renaultdusterintense1.616vflexaut 102290.0 renault 41885 2024 suv 1.6 0 prata flex 4.0 automático elétrica itaguaí
37,volkswagent-cross1.0tsiflex12v5paut.2024-1344386536|olx,113290.0,volkswagen,volkswagent-cross1.0tsiflex12v5paut.,47760,2024,suv,1.0,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-2024-1-0-200-tsi-total-flex-automatico-1344386536,volkswagent-cross1.0tsiflex12v5paut. 113290.0 volkswagen 47760 2024 suv 1.0 0 prata flex 4.0 automático elétrica itaguaí
38,fiattorofreedom1.3t2704x2flexaut2022-1345381764|olx,126790.0,fiat,fiattorofreedom1.3t2704x2flexaut,57113,2022,pick-up,1.3,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2022-1-3-turbo-270-flex-freedom-at6-1345381764,fiattorofreedom1.3t2704x2flexaut 126790.0 fiat 57113 2022 pick-up 1.3 0 prata flex 4.0 automático elétrica ribeirãopreto
39,volkswagennivushighline1.0200tsiflexaut2024-1355001774|olx,122690.0,volkswagen,volkswagennivushighline1.0200tsiflexaut,47928,2024,suv,1.0,0,cinza,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-2024-1-0-200-tsi-total-flex-highline-automatico-1355001774,volkswagennivushighline1.0200tsiflexaut 122690.0 volkswagen 47928 2024 suv 1.0 0 cinza flex 4.0 automático elétrica ribeirãopreto
40,chevrolettrackerpremier1.2turbo12vflexaut2023-1356465726|olx,121490.0,chevrolet,chevrolettrackerpremier1.2turbo12vflexaut,49012,2023,suv,1.2,0,preto,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2023-1-2-turbo-flex-premier-automatico-1356465726,chevrolettrackerpremier1.2turbo12vflexaut 121490.0 chevrolet 49012 2023 suv 1.2 0 preto flex 4.0 automático elétrica ribeirãopreto
41,chevroletplusltz1.012vtbflexaut.4p2023-1359911987|olx,84990.0,chevrolet,chevroletplusltz1.012vtbflexaut.4p,56232,2023,hatch,1.0,0,branco,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-plus-ltz-automatico-1359911987,chevroletplusltz1.012vtbflexaut.4p 84990.0 chevrolet 56232 2023 hatch 1.0 0 branco flex 4.0 automático elétrica itaguaí
42,fiat1.06vflex2024-1361254224|olx,81490.0,fiat,fiat1.06vflex,36382,2024,sedã,1.0,0,branco,flex,4.0,manual,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-2024-1-0-firefly-flex-drive-manual-1361254224,fiat1.06vflex 81490.0 fiat 36382 2024 sedã 1.0 0 branco flex 4.0 manual elétrica itaguaí
43,chevroletpluslt1.012vtbflexmec.4p2024-1361254601|olx,77090.0,chevrolet,chevroletpluslt1.012vtbflexmec.4p,48370,2024,hatch,1.0,0,prata,flex,4.0,manual,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-plus-lt-manual-1361254601,chevroletpluslt1.012vtbflexmec.4p 77090.0 chevrolet 48370 2024 hatch 1.0 0 prata flex 4.0 manual elétrica itaguaí
44,volvoxc60t-5dynamic2.0fwdturbogasolina4paut2012-1300205742|olx,63500.0,volvo,volvoxc60t-5dynamic2.0fwdturbogasolina4paut,111805,2012,suv,2.0-2.9,0,cinza,gasolina,4.0,automático,hidráulica,duquedecaxias,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volvo-xc-60-2012-1300205742,volvoxc60t-5dynamic2.0fwdturbogasolina4paut 63500.0 volvo 111805 2012 suv 2.0-2.9 0 cinza gasolina 4.0 automático hidráulica duquedecaxias
45,hyundaihb20comfort1.0flex12vmec.2023-1350684354|olx,69690.0,hyundai,hyundaihb20comfort1.0flex12vmec.,45890,2023,hatch,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2023-1-0-12v-flex-comfort-manual-1350684354,hyundaihb20comfort1.0flex12vmec. 69690.0 hyundai 45890 2023 hatch 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
46,fiattorofreedom1.3t2704x2flexaut2024-1352000586|olx,136890.0,fiat,fiattorofreedom1.3t2704x2flexaut,55000,2024,pick-up,1.3,0,branco,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2024-1-3-turbo-270-flex-freedom-at6-1352000586,fiattorofreedom1.3t2704x2flexaut 136890.0 fiat 55000 2024 pick-up 1.3 0 branco flex 4.0 automático elétrica ribeirãopreto
47,volkswagennivushighline1.0200tsiflexaut2021-1357647350|olx,105890.0,volkswagen,volkswagennivushighline1.0200tsiflexaut,69000,2021,suv,1.0,0,branco,flex,4.0,automático,hidráulica,sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-2021-1-0-200-tsi-total-flex-highline-automatico-1357647350,volkswagennivushighline1.0200tsiflexaut 105890.0 volkswagen 69000 2021 suv 1.0 0 branco flex 4.0 automático hidráulica sorocaba
48,chevrolethatchltz1.012vtbflexaut.4p2023-1358970913|olx,88590.0,chevrolet,chevrolethatchltz1.012vtbflexaut.4p,21230,2023,hatch,1.0,0,preto,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1358970913,chevrolethatchltz1.012vtbflexaut.4p 88590.0 chevrolet 21230 2023 hatch 1.0 0 preto flex 4.0 automático elétrica itaguaí
49,chevrolethatchlt1.012vflexmec.4p2024-1358974642|olx,72190.0,chevrolet,chevrolethatchlt1.012vflexmec.4p,48301,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1358974642,chevrolethatchlt1.012vflexmec.4p 72190.0 chevrolet 48301 2024 hatch 1.0 0 branco flex 4.0 manual elétrica itaguaí
50,fiatsiena1.0/ex1.0mpifire/fireflex8v2008-1362406805|olx,19000.0,fiat,fiatsiena1.0/ex1.0mpifire/fireflex8v,182000,2008,sedã,1.0,0,prata,flex,4.0,manual,mecânica,belohorizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-completo-pintura-e-estofados-novinho-1362406805,fiatsiena1.0/ex1.0mpifire/fireflex8v 19000.0 fiat 182000 2008 sedã 1.0 0 prata flex 4.0 manual mecânica belohorizonte
51,jeeprenegadelong.t2701.3tb4x2flexaut.2022-1319700706|olx,107390.0,jeep,jeeprenegadelong.t2701.3tb4x2flexaut.,49367,2022,suv,1.3,0,preto,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2022-1-3-t270-turbo-flex-longitude-at6-1319700706,jeeprenegadelong.t2701.3tb4x2flexaut. 107390.0 jeep 49367 2022 suv 1.3 0 preto flex 4.0 automático elétrica ribeirãopreto
52,chevrolettrackerltz1.0turbo12vflexaut2024-1342447312|olx,125490.0,chevrolet,chevrolettrackerltz1.0turbo12vflexaut,48644,2024,suv,1.0,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-0-turbo-flex-ltz-automatico-1342447312,chevrolettrackerltz1.0turbo12vflexaut 125490.0 chevrolet 48644 2024 suv 1.0 0 prata flex 4.0 automático elétrica ribeirãopreto
53,fiatmobilike1.0fireflex5p.2023-1350713613|olx,53090.0,fiat,fiatmobilike1.0fireflex5p.,50676,2023,hatch,1.0,0,branco,flex,4.0,manual,hidráulica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-2023-1-0-evo-flex-like-manual-1350713613,fiatmobilike1.0fireflex5p. 53090.0 fiat 50676 2023 hatch 1.0 0 branco flex 4.0 manual hidráulica itaguaí
54,fiatmobilike1.0fireflex5p.2024-1356419685|olx,58290.0,fiat,fiatmobilike1.0fireflex5p.,50708,2024,hatch,1.0,0,branco,flex,4.0,manual,hidráulica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-2024-1-0-evo-flex-like-manual-1356419685,fiatmobilike1.0fireflex5p. 58290.0 fiat 50708 2024 hatch 1.0 0 branco flex 4.0 manual hidráulica ribeirãopreto
55,renaultkwidzen1.0flex12v5pmec.2024-1358973122|olx,53890.0,renault,renaultkwidzen1.0flex12v5pmec.,45822,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-2024-1-0-12v-sce-flex-zen-manual-1358973122,renaultkwidzen1.0flex12v5pmec. 53890.0 renault 45822 2024 hatch 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
56,hyundaicomfort1.0flex12vmec.2024-1359215052|olx,91590.0,hyundai,hyundaicomfort1.0flex12vmec.,40382,2024,sedã,1.0,0,azul,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-tgdi-flex-comfort-automatico-1359215052,hyundaicomfort1.0flex12vmec. 91590.0 hyundai 40382 2024 sedã 1.0 0 azul flex 4.0 automático elétrica itaguaí
57,porschemacans3.0bi-turbo340cv2017-1362406842|olx,284000.0,porsche,porschemacans3.0bi-turbo340cv,41000,2017,suv,3.0-3.9,0,branco,gasolina,4.0,automático,5,balneáriocamboriú,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/porsche-macan-3-0-s-24v-v6-1362406842,porschemacans3.0bi-turbo340cv 284000.0 porsche 41000 2017 suv 3.0-3.9 0 branco gasolina 4.0 automático 5 balneáriocamboriú
58,jeeprenegadelongitude2.04x4tbdieselaut2016-836351360|olx,95990.0,jeep,jeeprenegadelongitude2.04x4tbdieselaut,115000,2016,suv,2.0-2.9,0,vermelho,diesel,4.0,automático,elétrica,fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renegade-longitude-2016-4x4-diesel-blindada-836351360,jeeprenegadelongitude2.04x4tbdieselaut 95990.0 jeep 115000 2016 suv 2.0-2.9 0 vermelho diesel 4.0 automático elétrica fortaleza
59,chevrolethatchltz1.012vtbflexaut.4p2023-1351053937|olx,88290.0,chevrolet,chevrolethatchltz1.012vtbflexaut.4p,22393,2023,hatch,1.0,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1351053937,chevrolethatchltz1.012vtbflexaut.4p 88290.0 chevrolet 22393 2023 hatch 1.0 0 prata flex 4.0 automático elétrica itaguaí
60,chevrolethatchltz1.012vtbflexaut.4p2023-1352327383|olx,87790.0,chevrolet,chevrolethatchltz1.012vtbflexaut.4p,44434,2023,sedã,1.0,0,branco,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1352327383,chevrolethatchltz1.012vtbflexaut.4p 87790.0 chevrolet 44434 2023 sedã 1.0 0 branco flex 4.0 automático elétrica ribeirãopreto
61,fiatargodrive1.0firefly2024-1354596534|olx,71890.0,fiat,fiatargodrive1.0firefly,49190,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2024-1-0-firefly-flex-drive-manual-1354596534,fiatargodrive1.0firefly 71890.0 fiat 49190 2024 hatch 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
62,fiatpulsedrive1.0turbo200flexaut.2023-1358028387|olx,82990.0,fiat,fiatpulsedrive1.0turbo200flexaut.,72500,2023,hatch,1.0,0,prata,flex,4.0,automático,elétrica,joãopessoa,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/pulse-drive-1-0-turbo-2023-so-hoje-1358028387,fiatpulsedrive1.0turbo200flexaut. 82990.0 fiat 72500 2023 hatch 1.0 0 prata flex 4.0 automático elétrica joãopessoa
63,volkswagent-crosshighline1.4tsiflex16v5paut2024-1358969603|olx,144890.0,volkswagen,volkswagent-crosshighline1.4tsiflex16v5paut,28186,2024,suv,1.4,0,preto,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-2024-1-4-250-tsi-total-flex-highline-automatico-1358969603,volkswagent-crosshighline1.4tsiflex16v5paut 144890.0 volkswagen 28186 2024 suv 1.4 0 preto flex 4.0 automático elétrica ribeirãopreto
64,renaultkwidzen1.0flex12v5pmec.2024-1358974000|olx,53290.0,renault,renaultkwidzen1.0flex12v5pmec.,55638,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-2024-1-0-12v-sce-flex-zen-manual-1358974000,renaultkwidzen1.0flex12v5pmec. 53290.0 renault 55638 2024 hatch 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
65,fiatstradafreedom1.3flex8vcd2021-1362407433|olx,92000.0,fiat,fiatstradafreedom1.3flex8vcd,19851,2021,pick-up,1.0,0,cinza,flex,4.0,manual,hidráulica,uberlândia,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-1-3-firefly-flex-freedom-cd-manual-cinza-2021-1362407433,fiatstradafreedom1.3flex8vcd 92000.0 fiat 19851 2021 pick-up 1.0 0 cinza flex 4.0 manual hidráulica uberlândia
66,hyundaicomfort1.0flex12vmec.2024-1337563107|olx,104390.0,hyundai,hyundaicomfort1.0flex12vmec.,52498,2024,sedã,1.0,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-tgdi-flex-comfort-automatico-1337563107,hyundaicomfort1.0flex12vmec. 104390.0 hyundai 52498 2024 sedã 1.0 0 prata flex 4.0 automático elétrica ribeirãopreto
67,chevroletpluslt1.012vtbflexaut.4p2023-1343153137|olx,89890.0,chevrolet,chevroletpluslt1.012vtbflexaut.4p,28643,2023,hatch,1.0,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-plus-lt-automatico-1343153137,chevroletpluslt1.012vtbflexaut.4p 89890.0 chevrolet 28643 2023 hatch 1.0 0 prata flex 4.0 automático elétrica ribeirãopreto
68,hyundaihb20platinum1.0tbflex12vaut2023-1352681500|olx,91090.0,hyundai,hyundaihb20platinum1.0tbflex12vaut,48808,2023,hatch,1.0,0,prata,flex,4.0,automático,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2023-1-0-tgdi-flex-platinum-automatico-1352681500,hyundaihb20platinum1.0tbflex12vaut 91090.0 hyundai 48808 2023 hatch 1.0 0 prata flex 4.0 automático elétrica ribeirãopreto
69,fiatargodrive1.0firefly2024-1354605940|olx,72190.0,fiat,fiatargodrive1.0firefly,45378,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2024-1-0-firefly-flex-drive-manual-1354605940,fiatargodrive1.0firefly 72190.0 fiat 45378 2024 hatch 1.0 0 branco flex 4.0 manual elétrica ribeirãopreto
70,toyotacorollaxli1.616v110cvaut.2009-1361253977|olx,51900.0,toyota,toyotacorollaxli1.616v110cvaut.,160000,2009,sedã,1.6,0,preto,flex,4.0,automático,elétrica,sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1-6-xli-2009-1361253977,toyotacorollaxli1.616v110cvaut. 51900.0 toyota 160000 2009 sedã 1.6 0 preto flex 4.0 automático elétrica sorocaba
71,hyundaihb20unique1.0flex12vmec.2019-1362400884|olx,58000.0,hyundai,hyundaihb20unique1.0flex12vmec.,60000,2019,hatch,1.0,1,cinza,flex,4.0,manual,hidráulica,teresina,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-1362400884,hyundaihb20unique1.0flex12vmec. 58000.0 hyundai 60000 2019 hatch 1.0 1 cinza flex 4.0 manual hidráulica teresina
72,hondacitysedanlx1.5flex16v4paut.2014-1333864695|olx,51990.0,honda,hondacitysedanlx1.5flex16v4paut.,154241,2014,sedã,1.5,0,prata,flex,4.0,automático,elétrica,fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-city-lx-1-4-2014-repasse-1333864695,hondacitysedanlx1.5flex16v4paut. 51990.0 honda 154241 2014 sedã 1.5 0 prata flex 4.0 automático elétrica fortaleza
73,citroenlivepack1.0flex6v5pmec.2023-1343300505|olx,61590.0,citroen,citroenlivepack1.0flex6v5pmec.,48544,2023,hatch,1.0,0,cinza,flex,4.0,manual,mecânica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-2023-1-0-firefly-flex-live-pack-manual-1343300505,citroenlivepack1.0flex6v5pmec. 61590.0 citroen 48544 2023 hatch 1.0 0 cinza flex 4.0 manual mecânica ribeirãopreto
74,chevrolethatchlt1.012vflexmec.4p2024-1344793675|olx,69790.0,chevrolet,chevrolethatchlt1.012vflexmec.4p,75192,2024,hatch,1.0,0,preto,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1344793675,chevrolethatchlt1.012vflexmec.4p 69790.0 chevrolet 75192 2024 hatch 1.0 0 preto flex 4.0 manual elétrica ribeirãopreto
75,chevroletplusltz1.012vtbflexmec.4p2023-1352681515|olx,75890.0,chevrolet,chevroletplusltz1.012vtbflexmec.4p,49999,2023,sedã,1.0,0,prata,flex,4.0,manual,elétrica,ribeirãopreto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-plus-ltz-manual-1352681515,chevroletplusltz1.012vtbflexmec.4p 75890.0 chevrolet 49999 2023 sedã 1.0 0 prata flex 4.0 manual elétrica ribeirãopreto
